CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,Tim,Elliot,4/8/1966,M,M,jon24@bmc-switzerland-com,"$80,000 ",2,Bachelors,Professional,Y
11001,MR.,Lewis,Lee,5/14/1965,S,M,eugene10@bmc-switzerland-com,"$60,000 ",3,Bachelors,Professional,N
11002,MR.,John,Paul,8/12/1965,M,M,ruben35@bmc-switzerland-com,"$60,000 ",3,Bachelors,Professional,Y
11003,MS.,Matthew,Hoffman,2/15/1968,S,F,christy12@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11004,MRS.,Michael,Rodriguez,8/8/1968,S,F,elizabeth5@bmc-switzerland-com,"$80,000 ",5,Bachelors,Professional,Y
11005,MR.,Kenneth,Joe,8/5/1965,S,M,julio1@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,Y
11007,MR.,Kenneth,Arnold,5/9/1964,M,M,marco14@bmc-switzerland-com,"$60,000 ",3,Bachelors,Professional,Y
11008,MRS.,Brock,Nichols,7/7/1964,S,F,rob4@bmc-switzerland-com,"$60,000 ",4,Bachelors,Professional,Y
11009,MR.,Autumn,Steele,4/1/1964,S,M,shannon38@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11010,MS.,Leslie,Sapp,2/6/1964,S,F,jacquelyn20@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11011,MR.,Patrick,Wetter,11/4/1963,M,M,curtis9@bmc-switzerland-com,"$60,000 ",4,Bachelors,Professional,Y
11012,MRS.,Ron,Sneed,1/18/1968,M,F,lauren41@bmc-switzerland-com,"$100,000 ",2,Bachelors,Management,Y
11013,MR.,Hashim,Hanif,8/6/1968,M,M,ian47@bmc-switzerland-com,"$100,000 ",2,Bachelors,Management,Y
11014,MRS.,Nicholas,Ryan,5/9/1968,S,F,sydney23@bmc-switzerland-com,"$100,000 ",3,Bachelors,Management,N
11015,MS.,Omarr,Julian,2/27/1979,S,F,chloe23@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,N
11016,MR.,Loren,Simpson,4/28/1979,M,M,wyatt32@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,Y
11017,MRS.,James,Dudley,6/26/1944,S,F,shannon1@bmc-switzerland-com,"$20,000 ",4,High School,Skilled Manual,Y
11018,MR.,Artago,Damon,10/9/1944,S,M,clarence32@bmc-switzerland-com,"$40,000 ",2,Partial College,Clerical,Y
11019,MR.,Thomas,Hamby,3/7/1978,S,M,luke18@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11020,MR.,Jimmy,Foreman,9/20/1978,S,M,jordan73@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11021,MS.,Andy,Martinez,9/3/1978,S,F,destiny7@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,N
11022,MR.,Tommy,Smith,10/12/1978,M,M,ethan20@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,Y
11023,MR.,Brian,,10/11/1978,M,M,seth46@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,Y
11024,MR.,Salvador,Figueroa,9/17/1978,M,M,russell7@bmc-switzerland-com,"$60,000 ",0,Partial College,Skilled Manual,Y
11025,,John,Edward,12/23/1945,M,NA,alejandro45@bmc-switzerland-com,"$10,000 ",2,Partial High School,Clerical,Y
11026,MR.,Richard,McClendon,4/3/1946,S,M,harold3@bmc-switzerland-com,"$40,000 ",2,Partial College,Clerical,N
11027,MR.,Marcus,Golden,12/7/1946,M,M,jessie16@bmc-switzerland-com,"$40,000 ",2,Partial College,Clerical,Y
11028,MRS.,Michael,Goebel,4/11/1946,M,F,jill13@bmc-switzerland-com,"$40,000 ",2,Partial College,Clerical,Y
11029,MR.,Mario,Jordan,12/21/1946,M,M,jimmy9@bmc-switzerland-com,"$40,000 ",2,Partial College,Clerical,Y
11030,MRS.,Talbot,Schroeder,2/22/1947,M,F,bethany10@bmc-switzerland-com,"$10,000 ",2,Partial High School,Clerical,Y
11031,MRS.,Robert,Edwards,8/22/1947,M,F,theresa13@bmc-switzerland-com,"$20,000 ",4,High School,Skilled Manual,Y
11032,MRS.,Jeffrey,R.,6/11/1947,M,F,denise10@bmc-switzerland-com,"$20,000 ",4,High School,Skilled Manual,Y
11033,MR.,Donte,Sowell,9/23/1947,M,M,jaime41@bmc-switzerland-com,"$20,000 ",4,High School,Skilled Manual,Y
11034,MRS.,Kavonda,Earl,6/19/1947,M,F,ebony19@bmc-switzerland-com,"$20,000 ",4,High School,Skilled Manual,Y
11035,,Quincy,Reed,2/24/1948,M,NA,wendy12@bmc-switzerland-com,"$10,000 ",2,Partial High School,Clerical,Y
11036,MS.,Jose,Ceja,12/18/1978,M,F,jennifer93@bmc-switzerland-com,"$60,000 ",0,Partial College,Skilled Manual,Y
11037,MS.,Nathan,Massey,11/27/1977,S,F,chloe27@bmc-switzerland-com,"$40,000 ",0,Partial High School,Clerical,N
11038,MRS.,Scott,Hall,3/23/1948,M,F,diana2@bmc-switzerland-com,"$10,000 ",2,Partial High School,Clerical,Y
11039,MR.,Zaki,Shinwary,12/17/1948,M,M,marc3@bmc-switzerland-com,"$40,000 ",3,Partial College,Clerical,Y
11040,MR.,Terence,Walker,8/1/1977,M,M,jesse15@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,Y
11041,MS.,Pablo,Meza,10/16/1977,M,F,amanda53@bmc-switzerland-com,"$60,000 ",0,Partial College,Skilled Manual,Y
11042,MS.,Daniel,Brumley,6/13/1977,M,F,megan28@bmc-switzerland-com,"$70,000 ",0,Partial College,Skilled Manual,Y
11043,MR.,Jonathan,Guillory,2/24/1976,M,M,nathan11@bmc-switzerland-com,"$60,000 ",0,Partial College,Skilled Manual,Y
11044,MR.,Carter,Castle,5/24/1949,M,M,adam10@bmc-switzerland-com,"$20,000 ",2,Partial High School,Clerical,Y
11045,MR.,Paul,Campbell,5/19/1950,S,M,leonard18@bmc-switzerland-com,"$40,000 ",3,High School,Skilled Manual,N
11046,MRS.,Dewayne,Carr,3/22/1950,M,F,christine4@bmc-switzerland-com,"$40,000 ",3,High School,Skilled Manual,Y
11047,MRS.,Todd,Allen,2/27/1950,M,F,jaclyn12@bmc-switzerland-com,"$40,000 ",3,High School,Skilled Manual,N
11048,MR.,Miguel,Angel,11/22/1950,M,M,jeremy26@bmc-switzerland-com,"$40,000 ",3,High School,Skilled Manual,Y
11049,MS.,Isaac,Holmes,7/18/1980,S,F,carol8@bmc-switzerland-com,"$40,000 ",0,Partial High School,Clerical,Y
11050,MR.,Andrew,Toto,9/7/1951,M,M,alan23@bmc-switzerland-com,"$40,000 ",3,High School,Skilled Manual,Y
11051,MR.,Tiano,Meton,8/4/1951,S,M,daniel18@bmc-switzerland-com,"$40,000 ",3,High School,Skilled Manual,N
11052,MRS.,Kristiana,Coignard,8/7/1951,S,F,heidi19@bmc-switzerland-com,"$40,000 ",2,Partial College,Clerical,N
11053,MS.,Demaris,Turner,8/20/1980,M,F,ana0@bmc-switzerland-com,"$60,000 ",0,Partial College,Skilled Manual,N
11054,MRS.,Jose,Antonio,3/10/1952,M,F,deanna33@bmc-switzerland-com,"$40,000 ",2,Partial College,Skilled Manual,Y
11055,MR.,Robert,Francis,3/5/1952,M,M,gilbert35@bmc-switzerland-com,"$40,000 ",2,Partial College,Skilled Manual,Y
11056,MRS.,Daryl,Myler,4/3/1953,M,F,michele19@bmc-switzerland-com,"$40,000 ",3,Partial College,Skilled Manual,Y
11057,MR.,Darin,Hutchins,10/12/1953,M,M,carl12@bmc-switzerland-com,"$70,000 ",2,Graduate Degree,Management,Y
11058,MR.,Wendell,King,4/27/1954,M,M,marc6@bmc-switzerland-com,"$80,000 ",2,Partial College,Skilled Manual,Y
11059,MRS.,Orlando,Jude,4/1/1954,S,F,ashlee19@bmc-switzerland-com,"$80,000 ",2,Partial College,Skilled Manual,Y
11060,MR.,William,Campbell,3/17/1954,M,M,jon28@bmc-switzerland-com,"$80,000 ",2,Partial College,Skilled Manual,Y
11061,MR.,Jessie,Hernandez,2/27/1954,M,M,todd14@bmc-switzerland-com,"$80,000 ",2,Partial College,Skilled Manual,Y
11062,MR.,Raymond,Kmetz,9/2/1975,M,M,noah5@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11063,MS.,Joshua,Omar,4/7/1975,S,F,angela41@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11064,MR.,David,Garcia,12/7/1975,M,M,chase21@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11065,MS.,Tiffany,Terry,10/9/1973,M,F,jessica29@bmc-switzerland-com,"$60,000 ",0,Partial College,Skilled Manual,N
11066,MS.,Nicolas,Leland,11/27/1973,M,F,grace62@bmc-switzerland-com,"$70,000 ",0,Partial College,Professional,Y
11067,MR.,Chris,Ingram,9/25/1976,S,M,caleb40@bmc-switzerland-com,"$60,000 ",0,Partial College,Professional,Y
11068,MRS.,Jermonte,Fletcher,9/23/1955,S,F,tiffany17@bmc-switzerland-com,"$80,000 ",2,High School,Skilled Manual,Y
11069,MRS.,Alan,Lance,9/21/1955,S,F,carolyn30@bmc-switzerland-com,"$80,000 ",2,High School,Skilled Manual,N
11070,MR.,Cody,Karasek,4/5/1955,M,M,willie40@bmc-switzerland-com,"$80,000 ",2,High School,Skilled Manual,Y
